,effortsLeft,effortsRight,r01,r02,r12
132,"[-1,-1,1,0]","[1,-1,1,0]",0.2727272727272727,0.45454545454545453,0.2727272727272727
133,"[-1,-1,1,0]","[1,0,-1,-1]",1.0,0.0,0.0
134,"[-1,-1,1,0]","[1,0,-1,0]",0.7,0.2,0.1
135,"[-1,-1,1,0]","[1,0,0,-1]",0.7,0.0,0.3
136,"[-1,-1,1,0]","[1,0,0,1]",0.25,0.16666666666666666,0.5833333333333334
137,"[-1,-1,1,0]","[1,0,1,-1]",0.6,0.3,0.1
138,"[-1,-1,1,0]","[1,0,1,1]",0.3333333333333333,0.4166666666666667,0.25
139,"[-1,-1,1,0]","[1,1,-1,0]",0.9090909090909091,0.0,0.09090909090909091
140,"[-1,-1,1,0]","[1,1,0,-1]",0.8181818181818182,0.09090909090909091,0.09090909090909091
141,"[-1,-1,1,0]","[1,1,0,1]",0.08333333333333333,0.08333333333333333,0.8333333333333334
142,"[-1,-1,1,0]","[1,1,1,0]",0.3,0.4,0.3
143,"[-1,0,-1,-1]","[-1,-1,-1,0]",0.4,0.4,0.2
144,"[-1,0,-1,-1]","[-1,-1,0,-1]",0.18181818181818182,0.5454545454545454,0.2727272727272727
145,"[-1,0,-1,-1]","[-1,-1,1,0]",0.25,0.0,0.75
146,"[-1,0,-1,-1]","[-1,0,-1,1]",0.2727272727272727,0.18181818181818182,0.5454545454545454
147,"[-1,0,-1,-1]","[-1,0,0,-1]",0.0,0.45454545454545453,0.5454545454545454
148,"[-1,0,-1,-1]","[-1,0,0,1]",0.08333333333333333,0.0,0.9166666666666666
149,"[-1,0,-1,-1]","[-1,0,1,0]",0.0,0.07692307692307693,0.9230769230769231
150,"[-1,0,-1,-1]","[-1,0,1,1]",0.23076923076923078,0.0,0.7692307692307693
151,"[-1,0,-1,-1]","[-1,1,1,0]",0.09090909090909091,0.2727272727272727,0.6363636363636364
152,"[-1,0,-1,-1]","[0,-1,-1,1]",0.0,0.25,0.75
153,"[-1,0,-1,-1]","[0,-1,0,-1]",0.5,0.3333333333333333,0.16666666666666666
154,"[-1,0,-1,-1]","[0,-1,0,1]",0.1,0.0,0.9
155,"[-1,0,-1,-1]","[0,-1,1,1]",0.09090909090909091,0.0,0.9090909090909091
156,"[-1,0,-1,-1]","[0,0,-1,1]",0.0,0.4,0.6
157,"[-1,0,-1,-1]","[0,1,-1,-1]",0.1,0.7,0.2
158,"[-1,0,-1,-1]","[0,1,-1,0]",0.08333333333333333,0.6666666666666666,0.25
159,"[-1,0,-1,-1]","[0,1,-1,1]",0.07692307692307693,0.6153846153846154,0.3076923076923077
160,"[-1,0,-1,-1]","[0,1,0,1]",0.0,0.09090909090909091,0.9090909090909091
161,"[-1,0,-1,-1]","[0,1,1,0]",0.3333333333333333,0.0,0.6666666666666666
162,"[-1,0,-1,-1]","[1,-1,0,0]",0.1,0.0,0.9
163,"[-1,0,-1,-1]","[1,0,-1,0]",0.3,0.4,0.3
164,"[-1,0,-1,-1]","[1,0,0,-1]",0.45454545454545453,0.2727272727272727,0.2727272727272727
165,"[-1,0,-1,-1]","[1,0,0,1]",0.0,0.0,1.0
166,"[-1,0,-1,-1]","[1,0,1,0]",0.16666666666666666,0.08333333333333333,0.75
167,"[-1,0,-1,-1]","[1,0,1,1]",0.07692307692307693,0.0,0.9230769230769231
168,"[-1,0,-1,-1]","[1,1,0,-1]",0.21428571428571427,0.2857142857142857,0.5
169,"[-1,0,-1,-1]","[1,1,0,0]",0.09090909090909091,0.0,0.9090909090909091
170,"[-1,0,-1,0]","[-1,-1,-1,0]",0.45454545454545453,0.36363636363636365,0.18181818181818182
171,"[-1,0,-1,0]","[-1,-1,0,-1]",0.8181818181818182,0.0,0.18181818181818182
172,"[-1,0,-1,0]","[-1,-1,0,0]",0.0,0.1,0.9
173,"[-1,0,-1,0]","[-1,-1,1,0]",0.2727272727272727,0.0,0.7272727272727273
174,"[-1,0,-1,0]","[-1,0,-1,-1]",0.5454545454545454,0.2727272727272727,0.18181818181818182
