,effortsLeft,effortsRight,r01,r02,r12
261,"[-1,0,0,1]","[-1,1,1,0]",0.8181818181818182,0.09090909090909091,0.09090909090909091
262,"[-1,0,0,1]","[0,-1,0,-1]",0.8181818181818182,0.0,0.18181818181818182
263,"[-1,0,0,1]","[0,-1,1,1]",0.6,0.4,0.0
264,"[-1,0,0,1]","[0,0,-1,-1]",1.0,0.0,0.0
265,"[-1,0,0,1]","[0,1,-1,-1]",0.9090909090909091,0.0,0.09090909090909091
266,"[-1,0,0,1]","[0,1,-1,0]",0.6363636363636364,0.09090909090909091,0.2727272727272727
267,"[-1,0,0,1]","[0,1,-1,1]",0.3,0.3,0.4
268,"[-1,0,0,1]","[0,1,0,1]",0.36363636363636365,0.18181818181818182,0.45454545454545453
269,"[-1,0,0,1]","[0,1,1,0]",0.8333333333333334,0.0,0.16666666666666666
270,"[-1,0,0,1]","[1,-1,0,-1]",0.18181818181818182,0.09090909090909091,0.7272727272727273
271,"[-1,0,0,1]","[1,-1,0,0]",0.4,0.2,0.4
272,"[-1,0,0,1]","[1,-1,1,0]",0.6,0.1,0.3
273,"[-1,0,0,1]","[1,0,-1,-1]",1.0,0.0,0.0
274,"[-1,0,0,1]","[1,0,-1,0]",0.7142857142857143,0.0,0.2857142857142857
275,"[-1,0,0,1]","[1,0,-1,1]",0.6923076923076923,0.15384615384615385,0.15384615384615385
276,"[-1,0,0,1]","[1,0,0,-1]",0.75,0.0,0.25
277,"[-1,0,0,1]","[1,0,0,1]",0.45454545454545453,0.2727272727272727,0.2727272727272727
278,"[-1,0,0,1]","[1,0,1,0]",0.5454545454545454,0.18181818181818182,0.2727272727272727
279,"[-1,0,0,1]","[1,1,0,-1]",0.9090909090909091,0.09090909090909091,0.0
280,"[-1,0,0,1]","[1,1,0,0]",0.6428571428571429,0.07142857142857142,0.2857142857142857
281,"[-1,0,0,1]","[1,1,0,1]",0.5454545454545454,0.09090909090909091,0.36363636363636365
282,"[-1,0,0,1]","[1,1,1,0]",0.6153846153846154,0.15384615384615385,0.23076923076923078
283,"[-1,0,1,-1]","[-1,-1,-1,0]",0.3,0.0,0.7
284,"[-1,0,1,-1]","[-1,-1,0,-1]",0.0,0.45454545454545453,0.5454545454545454
285,"[-1,0,1,-1]","[-1,-1,0,1]",0.0,0.1,0.9
286,"[-1,0,1,-1]","[-1,0,-1,-1]",0.18181818181818182,0.45454545454545453,0.36363636363636365
287,"[-1,0,1,-1]","[-1,0,1,0]",0.08333333333333333,0.3333333333333333,0.5833333333333334
288,"[-1,0,1,-1]","[-1,0,1,1]",0.3,0.3,0.4
289,"[-1,0,1,-1]","[-1,1,-1,0]",0.0,0.46153846153846156,0.5384615384615384
290,"[-1,0,1,-1]","[-1,1,0,-1]",0.15384615384615385,0.5384615384615384,0.3076923076923077
291,"[-1,0,1,-1]","[-1,1,0,0]",0.06666666666666667,0.26666666666666666,0.6666666666666666
292,"[-1,0,1,-1]","[0,-1,-1,1]",0.08333333333333333,0.16666666666666666,0.75
293,"[-1,0,1,-1]","[0,-1,0,-1]",0.0,0.8,0.2
294,"[-1,0,1,-1]","[0,-1,1,-1]",0.09090909090909091,0.6363636363636364,0.2727272727272727
295,"[-1,0,1,-1]","[0,-1,1,0]",0.0,0.16666666666666666,0.8333333333333334
296,"[-1,0,1,-1]","[0,-1,1,1]",0.1,0.2,0.7
