,efforts_tuples,selected0,selected1,count,count_normalized,selected_motions,alpha_0_1,alpha_1_0,alpha_0_2,alpha_2_0,alpha_1_2,alpha_2_1,direct_comparison_value,most_preferred_pair
421,"[(-1, 0, 0, -1), (0, -1, -1, -1)]",0,2,7,0.583333333333333,0_2,-0.16666666666666602,0.416666666666667,0.16666666666666602,0.583333333333333,-0.416666666666667,-0.583333333333333,0.583333333333333,"(0, 2)"
422,"[(-1, 0, 0, -1), (0, -1, -1, 0)]",0,1,8,0.727272727272727,0_1,0.727272727272727,0.454545454545454,-0.727272727272727,-0.272727272727273,-0.454545454545454,0.272727272727273,0.0,"(0, 1)"
423,"[(-1, 0, 0, -1), (0, -1, -1, 1)]",1,2,6,0.545454545454545,1_2,0.090909090909091,-0.272727272727272,-0.090909090909091,-0.363636363636363,0.272727272727272,0.363636363636363,0.181818181818182,"(1, 2)"
424,"[(-1, 0, 0, -1), (0, -1, 0, -1)]",0,2,7,0.636363636363636,0_2,-0.36363636363636304,0.1818181818181821,0.36363636363636304,0.5454545454545451,-0.1818181818181821,-0.5454545454545451,0.636363636363636,"(0, 2)"
425,"[(-1, 0, 0, -1), (0, -1, 0, 1)]",1,2,8,0.615384615384615,1_2,0.384615384615385,-0.23076923076922995,-0.384615384615385,-0.615384615384615,0.23076923076922995,0.615384615384615,0.0,"(1, 2)"
426,"[(-1, 0, 0, -1), (0, -1, 1, -1)]",0,2,7,0.636363636363636,0_2,-0.36363636363636304,0.1818181818181821,0.36363636363636304,0.5454545454545451,-0.1818181818181821,-0.5454545454545451,0.636363636363636,"(0, 2)"
427,"[(-1, 0, 0, -1), (0, -1, 1, 0)]",1,2,6,0.545454545454545,1_2,-0.2727272727272731,-0.4545454545454541,0.2727272727272731,-0.181818181818181,0.4545454545454541,0.181818181818181,0.363636363636364,"(1, 2)"
428,"[(-1, 0, 0, -1), (0, -1, 1, 1)]",1,2,9,0.642857142857143,1_2,-0.07142857142857101,-0.5,0.07142857142857101,-0.42857142857142905,0.5,0.42857142857142905,0.214285714285714,"(1, 2)"
429,"[(-1, 0, 0, -1), (0, 0, -1, -1)]",0,1,10,0.666666666666667,0_1,0.333333333333334,0.666666666666667,-0.333333333333334,0.333333333333333,-0.666666666666667,-0.333333333333333,0.333333333333333,"(0, 1)"
430,"[(-1, 0, 0, -1), (0, 0, -1, 1)]",1,2,5,0.5,1_2,0.30000000000000004,-0.09999999999999998,-0.30000000000000004,-0.4,0.09999999999999998,0.4,0.1,"(1, 2)"
431,"[(-1, 0, 0, -1), (0, 0, 1, -1)]",0,1,7,0.7,0_1,0.39999999999999997,0.7,-0.39999999999999997,0.3,-0.7,-0.3,0.3,"(0, 1)"
432,"[(-1, 0, 0, -1), (0, 0, 1, 1)]",1,2,6,0.6,1_2,0.19999999999999998,-0.3,-0.19999999999999998,-0.5,0.3,0.5,0.1,"(1, 2)"
433,"[(-1, 0, 0, -1), (0, 1, -1, -1)]",0,1,5,0.454545454545455,0_1,0.090909090909091,0.272727272727273,-0.090909090909091,0.181818181818182,-0.272727272727273,-0.181818181818182,0.363636363636364,"(0, 1)"
434,"[(-1, 0, 0, -1), (0, 1, -1, 0)]",0,1,5,0.5,0_1,0.4,0.09999999999999998,-0.4,-0.30000000000000004,-0.09999999999999998,0.30000000000000004,0.1,"(0, 1)"
435,"[(-1, 0, 0, -1), (0, 1, -1, 1)]",0,1,8,0.444444444444444,0_1,0.333333333333333,0.0,-0.333333333333333,-0.333333333333333,0.0,0.333333333333333,0.111111111111111,"(1, 2)"
436,"[(-1, 0, 0, -1), (0, 1, 0, -1)]",0,2,8,0.8,0_2,-0.6000000000000001,0.2,0.6000000000000001,0.8,-0.2,-0.8,0.8,"(0, 2)"
437,"[(-1, 0, 0, -1), (0, 1, 0, 1)]",1,2,10,0.909090909090909,1_2,-0.0909090909090909,-0.909090909090909,0.0909090909090909,-0.818181818181818,0.909090909090909,0.818181818181818,0.0909090909090909,"(1, 2)"
438,"[(-1, 0, 0, -1), (0, 1, 1, -1)]",0,2,6,0.6,0_2,-0.39999999999999997,0.0,0.39999999999999997,0.39999999999999997,0.0,-0.39999999999999997,0.6,"(0, 2)"
439,"[(-1, 0, 0, -1), (0, 1, 1, 0)]",0,1,10,0.666666666666667,0_1,0.6000000000000003,0.39999999999999997,-0.6000000000000003,-0.2000000000000003,-0.39999999999999997,0.2000000000000003,0.0666666666666667,"(0, 1)"
440,"[(-1, 0, 0, -1), (0, 1, 1, 1)]",1,2,7,0.7,1_2,0.1,-0.49999999999999994,-0.1,-0.6,0.49999999999999994,0.6,0.1,"(1, 2)"
441,"[(-1, 0, 0, -1), (1, -1, -1, 0)]",0,1,8,0.444444444444444,0_1,0.222222222222222,0.111111111111111,-0.222222222222222,-0.111111111111111,-0.111111111111111,0.111111111111111,0.222222222222222,"(0, 1)"
442,"[(-1, 0, 0, -1), (1, -1, 0, -1)]",0,2,6,0.6,0_2,-0.3,0.19999999999999998,0.3,0.5,-0.19999999999999998,-0.5,0.6,"(0, 2)"
443,"[(-1, 0, 0, -1), (1, -1, 0, 0)]",1,2,12,0.923076923076923,1_2,0.0769230769230769,-0.8461538461538461,-0.0769230769230769,-0.923076923076923,0.8461538461538461,0.923076923076923,0.0,"(1, 2)"
444,"[(-1, 0, 0, -1), (1, -1, 0, 1)]",1,2,8,0.8,1_2,0.0,-0.7000000000000001,0.0,-0.7000000000000001,0.7000000000000001,0.7000000000000001,0.1,"(1, 2)"
445,"[(-1, 0, 0, -1), (1, -1, 1, 0)]",1,2,12,0.705882352941177,1_2,-0.058823529411764996,-0.588235294117648,0.058823529411764996,-0.5294117647058829,0.588235294117648,0.5294117647058829,0.176470588235294,"(1, 2)"
446,"[(-1, 0, 0, -1), (1, 0, -1, -1)]",0,1,6,0.6,0_1,0.19999999999999996,0.6,-0.19999999999999996,0.4,-0.6,-0.4,0.4,"(0, 1)"
447,"[(-1, 0, 0, -1), (1, 0, -1, 0)]",1,2,6,0.545454545454545,1_2,0.454545454545455,-0.09090909090909,-0.454545454545455,-0.545454545454545,0.09090909090909,0.545454545454545,0.0,"(1, 2)"
448,"[(-1, 0, 0, -1), (1, 0, -1, 1)]",0,1,7,0.466666666666667,0_1,0.4000000000000003,0.0,-0.4000000000000003,-0.4000000000000003,0.0,0.4000000000000003,0.0666666666666667,"(1, 2)"
449,"[(-1, 0, 0, -1), (1, 0, 0, -1)]",0,2,11,0.733333333333333,0_2,-0.6,0.0,0.6,0.6,0.0,-0.6,0.733333333333333,"(0, 2)"
450,"[(-1, 0, 0, -1), (1, 0, 0, 1)]",1,2,7,0.538461538461538,1_2,0.0,-0.307692307692307,0.0,-0.307692307692307,0.307692307692307,0.307692307692307,0.230769230769231,"(1, 2)"
451,"[(-1, 0, 0, -1), (1, 0, 1, -1)]",0,2,11,0.733333333333333,0_2,-0.6666666666666663,-0.1333333333333333,0.6666666666666663,0.533333333333333,0.1333333333333333,-0.533333333333333,0.733333333333333,"(0, 2)"
452,"[(-1, 0, 0, -1), (1, 0, 1, 0)]",1,2,8,0.727272727272727,1_2,0.272727272727273,-0.454545454545454,-0.272727272727273,-0.727272727272727,0.454545454545454,0.727272727272727,0.0,"(1, 2)"
453,"[(-1, 0, 0, -1), (1, 0, 1, 1)]",1,2,6,0.545454545454545,1_2,0.090909090909091,-0.272727272727272,-0.090909090909091,-0.363636363636363,0.272727272727272,0.363636363636363,0.181818181818182,"(1, 2)"
454,"[(-1, 0, 0, -1), (1, 1, -1, 0)]",0,1,6,0.545454545454545,0_1,0.4545454545454541,0.181818181818181,-0.4545454545454541,-0.2727272727272731,-0.181818181818181,0.2727272727272731,0.0909090909090909,"(0, 1)"
455,"[(-1, 0, 0, -1), (1, 1, 0, -1)]",0,2,9,0.9,0_2,-0.8,0.1,0.8,0.9,-0.1,-0.9,0.9,"(0, 2)"
456,"[(-1, 0, 0, -1), (1, 1, 0, 0)]",1,2,8,0.8,1_2,0.0,-0.7000000000000001,0.0,-0.7000000000000001,0.7000000000000001,0.7000000000000001,0.1,"(1, 2)"
